Strain	Species	Genus	Family	Class	correction
243	Fragilaria_pararumpens	Fragilaria	Fragilariaceae	Bacillariophyceae	1
247	Fragilaria_pararumpens	Fragilaria	Fragilariaceae	Bacillariophyceae	1
250	Gomphonema_hebridense	Gomphonema	Gomphonemataceae	Bacillariophyceae	1
252	Tabellaria_flocculosa	Tabellaria	Tabellariaceae	Bacillariophyceae	1
256	Frustulia_crassinervia	Frustulia	Amphipleuraceae	Bacillariophyceae	1
257	Tabellaria_flocculosa	Tabellaria	Tabellariaceae	Bacillariophyceae	1
258	Encyonema_sp	Encyonema	Cymbellaceae	Bacillariophyceae	1
265	Encyonopsis_falaisensis	Encyonopsis	Cymbellaceae	Bacillariophyceae	1
266	Fragilaria_gracilis	Fragilaria	Fragilariaceae	Bacillariophyceae	1
267	Eunotia_bilunaris	Eunotia	Eunotiaceae	Bacillariophyceae	1
271	Eunotia_exigua	Eunotia	Eunotiaceae	Bacillariophyceae	1
272	Frustulia_crassinervia	Frustulia	Amphipleuraceae	Bacillariophyceae	1
274	Navicula_lanceolata	Navicula	Naviculaceae	Bacillariophyceae	1
275	Navicula_lanceolata	Navicula	Naviculaceae	Bacillariophyceae	1
277	Nitzschia_palea	Nitzschia	Bacillariaceae	Bacillariophyceae	1
280	Navicula_lanceolata	Navicula	Naviculaceae	Bacillariophyceae	1
281	Rhoicosphenia_abbreviata	Rhoicosphenia	Rhoicospheniaceae	Bacillariophyceae	1
283	Rhoicosphenia_abbreviata	Rhoicosphenia	Rhoicospheniaceae	Bacillariophyceae	1
284	Navicula_lanceolata	Navicula	Naviculaceae	Bacillariophyceae	1
n285	Cyclotella_meneghiniana	Cyclotella	Stephanodiscaceae	Coscinodiscophyceae	1
286	Navicula_lanceolata	Navicula	Naviculaceae	Bacillariophyceae	1
290	Surirella_brebissonii	Surirella	Surirellaceae	Bacillariophyceae	1
291	Surirella_brebissonii	Surirella	Surirellaceae	Bacillariophyceae	1
292	Surirella_brebissonii	Surirella	Surirellaceae	Bacillariophyceae	1
294	Navicula_lanceolata	Navicula	Naviculaceae	Bacillariophyceae	1
296	Navicula_lanceolata	Navicula	Naviculaceae	Bacillariophyceae	1
297	Navicula_lanceolata	Navicula	Naviculaceae	Bacillariophyceae	1
298	Melosira_varians	Melosira	Melosiraceae	Coscinodiscophyceae	1
299	Navicula_lanceolata	Navicula	Naviculaceae	Bacillariophyceae	1
300	Navicula_lanceolata	Navicula	Naviculaceae	Bacillariophyceae	1
302	Thalassiosira_weissfloggii	Thalassiosira	Stephanodiscaceae	Coscinodiscophyceae	1
303	Navicula_gregaria	Navicula	Naviculaceae	Bacillariophyceae	1
304	Surirella_brebissonii	Surirella	Surirellaceae	Bacillariophyceae	1
306	Melosira_varians	Melosira	Melosiraceae	Coscinodiscophyceae	1
307	Nitzschia_vermicularoides	Nitzschia	Bacillariaceae	Bacillariophyceae	1
309	Nitzschia_palea	Nitzschia	Bacillariaceae	Bacillariophyceae	1
310	Cocconeis_pediculus	Cocconeis	Cocconeidaceae	Bacillariophyceae	1
311	Gomphonema_pumilum	Gomphonema	Gomphonemataceae	Bacillariophyceae	1
312	Navicula_gregaria	Navicula	Naviculaceae	Bacillariophyceae	1
314	Encyonema_minutum	Encyonema	Cymbellaceae	Bacillariophyceae	1
316	Navicula_gregaria	Navicula	Naviculaceae	Bacillariophyceae	1
318	Encyonema_sp	Encyonema	Cymbellaceae	Bacillariophyceae	1
319	Fragilaria_gracilis	Fragilaria	Fragilariaceae	Bacillariophyceae	1
320	Surirella_brebissonii	Surirella	Surirellaceae	Bacillariophyceae	1
321	Navicula_lanceolata	Navicula	Naviculaceae	Bacillariophyceae	1
322	Navicula_lanceolata	Navicula	Naviculaceae	Bacillariophyceae	1
323	Surirella_brebissonii	Surirella	Surirellaceae	Bacillariophyceae	1
324	Navicula_lanceolata	Navicula	Naviculaceae	Bacillariophyceae	1
326	Navicula_lanceolata	Navicula	Naviculaceae	Bacillariophyceae	1
329	Navicula_lanceolata	Navicula	Naviculaceae	Bacillariophyceae	1
330	Nitzschia_cf	Nitzschia	Bacillariaceae	Bacillariophyceae	1
331	Navicula_lanceolata	Navicula	Naviculaceae	Bacillariophyceae	1
332	Nitzschia_cf	Nitzschia	Bacillariaceae	Bacillariophyceae	1
337	Achnanthidium_minutissimum_OTU1	Achnanthidium	Achnanthidiaceae	Bacillariophyceae	1
340	Gomphonema_truncatum	Gomphonema	Gomphonemataceae	Bacillariophyceae	1
342	Achnanthidium_minutissimum_OTU1	Achnanthidium	Achnanthidiaceae	Bacillariophyceae	1
343	Fragilaria_Lyngbye	Fragilaria	Fragilariaceae	Bacillariophyceae	1
344	Ulnaria_ulna	Ulnaria	Fragilariaceae	Bacillariophyceae	1
346	Gomphonema_truncatum	Gomphonema	Gomphonemataceae	Bacillariophyceae	1
349	Surirella_brebissonii	Surirella	Surirellaceae	Bacillariophyceae	1
350	Surirella_brebissonii	Surirella	Surirellaceae	Bacillariophyceae	1
353	Navicula_lanceolata	Navicula	Naviculaceae	Bacillariophyceae	1
358	Ulnaria_ulna	Ulnaria	Fragilariaceae	Bacillariophyceae	1
363	Navicula_lanceolata	Navicula	Naviculaceae	Bacillariophyceae	1
369	Navicula_gregaria	Navicula	Naviculaceae	Bacillariophyceae	1
372	Encyonema_minutum	Encyonema	Cymbellaceae	Bacillariophyceae	1
373	Nitzschia_palea	Nitzschia	Bacillariaceae	Bacillariophyceae	1
375	Nitzschia_palea	Nitzschia	Bacillariaceae	Bacillariophyceae	1
377	Encyonema_sp	Encyonema	Cymbellaceae	Bacillariophyceae	1
380	Fragilaria_gracilis	Fragilaria	Fragilariaceae	Bacillariophyceae	1
382	Fragilaria_gracilis	Fragilaria	Fragilariaceae	Bacillariophyceae	1
391	Achnanthidium_minutissimum_OTU3	Achnanthidium	Achnanthidiaceae	Bacillariophyceae	1
394	Achnanthes_pseudoswazi	Achnanthes	Achnanthaceae	Bacillariophyceae	1
398	Achnanthidium_minutissimum_OTU3	Achnanthidium	Achnanthidiaceae	Bacillariophyceae	1
400	Encyonopsis_falaisensis	Encyonopsis	Cymbellaceae	Bacillariophyceae	1
407	Achnanthidium_minutissimum_OTU1	Achnanthidium	Achnanthidiaceae	Bacillariophyceae	1
409	Fragilaria_gracilis	Fragilaria	Fragilariaceae	Bacillariophyceae	1
432	Achnanthidium_minutissimum_OTU1	Achnanthidium	Achnanthidiaceae	Bacillariophyceae	1
435	Fragilaria_vaucheriae	Fragilaria	Fragilariaceae	Bacillariophyceae	1
445	Encyonema_minutum	Encyonema	Cymbellaceae	Bacillariophyceae	1
450	Achnanthidium_minutissimum_OTU1	Achnanthidium	Achnanthidiaceae	Bacillariophyceae	1
n451	Staurosira_venter	Staurosira	Fragilariaceae	Bacillariophyceae	1
457	Gomphonema_truncatum	Gomphonema	Gomphonemataceae	Bacillariophyceae	1
458	Pinnularia_microstauron	Pinnularia	Pinnulariaceae	Bacillariophyceae	1
460	Achnanthidium_minutissimum_OTU4	Achnanthidium	Achnanthidiaceae	Bacillariophyceae	1
467	Fragilaria_gracilis	Fragilaria	Fragilariaceae	Bacillariophyceae	1
468	Achnanthidium_minutissimum_OTU1	Achnanthidium	Achnanthidiaceae	Bacillariophyceae	1
469	Nitzschia_cf	Nitzschia	Bacillariaceae	Bacillariophyceae	1
470	Nitzschia_dissipata	Nitzschia	Bacillariaceae	Bacillariophyceae	1
471	Eunotia_bilunaris	Eunotia	Eunotiaceae	Bacillariophyceae	1
n475	Staurosira_venter	Staurosira	Fragilariaceae	Bacillariophyceae	1
483	Nitzschia_paleacea	Nitzschia	Bacillariaceae	Bacillariophyceae	1
486	Nitzschia_amphibia	Nitzschia	Bacillariaceae	Bacillariophyceae	1
n487	Cyclotella_meneghiniana	Cyclotella	Stephanodiscaceae	Coscinodiscophyceae	1
489	Encyonema_sp	Encyonema	Cymbellaceae	Bacillariophyceae	1
494	Diatoma_tenuis	Diatoma	Fragilariaceae	Bacillariophyceae	1
n496	Staurosira_venter	Staurosira	Fragilariaceae	Bacillariophyceae	1
n498	Staurosira_construens_cf_subsalina	Staurosira	Fragilariaceae	Bacillariophyceae	1
499	Gomphonema_parvulum	Gomphonema	Gomphonemataceae	Bacillariophyceae	1
500	Navicula_radiosa	Navicula	Naviculaceae	Bacillariophyceae	1
503	Nitzschia_amphibia	Nitzschia	Bacillariaceae	Bacillariophyceae	1
507	Adlafia_bryophila	Adlafia	Sellaphoraceae	Bacillariophyceae	1
n508	Staurosira_venter	Staurosira	Fragilariaceae	Bacillariophyceae	1
n509	Staurosira_venter	Staurosira	Fragilariaceae	Bacillariophyceae	1
511	Fragilaria_gracilis	Fragilaria	Fragilariaceae	Bacillariophyceae	1
513	Fragilaria_capucina	Fragilaria	Fragilariaceae	Bacillariophyceae	1
514	Fragilaria_capucina	Fragilaria	Fragilariaceae	Bacillariophyceae	1
523	Melosira_varians	Melosira	Melosiraceae	Coscinodiscophyceae	1
n529	Cyclotella_meneghiniana	Cyclotella	Stephanodiscaceae	Coscinodiscophyceae	1
530	Thalassiosira_weissfloggii	Thalassiosira	Stephanodiscaceae	Coscinodiscophyceae	1
536	Navicula_gregaria	Navicula	Naviculaceae	Bacillariophyceae	1
538	Navicula_lanceolata	Navicula	Naviculaceae	Bacillariophyceae	1
541	Surirella_brebissonii	Surirella	Surirellaceae	Bacillariophyceae	1
543	Gomphonema_parvulum	Gomphonema	Gomphonemataceae	Bacillariophyceae	1
549	Achnanthidium_minutissimum_OTU3	Achnanthidium	Achnanthidiaceae	Bacillariophyceae	1
551	Fragilaria_gracilis	Fragilaria	Fragilariaceae	Bacillariophyceae	1
559	Achnanthidium_minutissimum_OTU3	Achnanthidium	Achnanthidiaceae	Bacillariophyceae	1
568	Gomphonema_parvulum	Gomphonema	Gomphonemataceae	Bacillariophyceae	1
569	Gomphonema_sp	Gomphonema	Gomphonemataceae	Bacillariophyceae	1
572	Gomphonema_minutum	Gomphonema	Gomphonemataceae	Bacillariophyceae	1
574	Achnanthidium_minutissimum_OTU5	Achnanthidium	Achnanthidiaceae	Bacillariophyceae	1
575	Fragilaria_rumpens	Fragilaria	Fragilariaceae	Bacillariophyceae	1
586	Gomphonema_minutum	Gomphonema	Gomphonemataceae	Bacillariophyceae	1
587	Achnanthidium_minutissimum_OTU1	Achnanthidium	Achnanthidiaceae	Bacillariophyceae	1
588	Gomphonema_parvulum	Gomphonema	Gomphonemataceae	Bacillariophyceae	1
590	Eunotia_minor	Eunotia	Eunotiaceae	Bacillariophyceae	1
592	Eunotia_exigua	Eunotia	Eunotiaceae	Bacillariophyceae	1
593	Navicula_sp	Navicula	Naviculaceae	Bacillariophyceae	1
597	Surirella_minuta	Surirella	Surirellaceae	Bacillariophyceae	1
600	Surirella_minuta	Surirella	Surirellaceae	Bacillariophyceae	1
601	Surirella_brebissonii	Surirella	Surirellaceae	Bacillariophyceae	1
603	Nitzschia_palea	Nitzschia	Bacillariaceae	Bacillariophyceae	1
604	Surirella_angusta	Surirella	Surirellaceae	Bacillariophyceae	1
606	Surirella_brebissonii	Surirella	Surirellaceae	Bacillariophyceae	1
612	Encyonema_silesiacum	Encyonema	Cymbellaceae	Bacillariophyceae	1
613	Fragilaria_Lyngbye	Fragilaria	Fragilariaceae	Bacillariophyceae	1
614	Tabellaria_flocculosa	Tabellaria	Tabellariaceae	Bacillariophyceae	1
615	Gomphonema_acuminatum	Gomphonema	Gomphonemataceae	Bacillariophyceae	1
616	Navicula_tripunctata	Navicula	Naviculaceae	Bacillariophyceae	1
617	Eunotia_bilunaris	Eunotia	Eunotiaceae	Bacillariophyceae	1
621	Fragilaria_capucina	Fragilaria	Fragilariaceae	Bacillariophyceae	1
622	Fragilaria_gracilis	Fragilaria	Fragilariaceae	Bacillariophyceae	1
625	Fragilaria_rumpens	Fragilaria	Fragilariaceae	Bacillariophyceae	1
n633	Cyclotella_meneghiniana	Cyclotella	Stephanodiscaceae	Coscinodiscophyceae	1
634	Achnanthidium_minutissimum_OTU1	Achnanthidium	Achnanthidiaceae	Bacillariophyceae	1
641	Melosira_varians	Melosira	Melosiraceae	Coscinodiscophyceae	1
643	Fragilaria_gracilis	Fragilaria	Fragilariaceae	Bacillariophyceae	1
645	Pseudostaurosira_brevistriata	Pseudostaurosira	Fragilariaceae	Bacillariophyceae	1
647	Pseudostaurosira_brevistriata	Pseudostaurosira	Fragilariaceae	Bacillariophyceae	1
n648	Cyclotella_meneghiniana	Cyclotella	Stephanodiscaceae	Coscinodiscophyceae	1
649	Nitzschia_dissipata	Nitzschia	Bacillariaceae	Bacillariophyceae	1
651	Ulnaria_acus	Ulnaria	Fragilariaceae	Bacillariophyceae	1
653	Fragilaria_mesolepta	Fragilaria	Fragilariaceae	Bacillariophyceae	1
654	Gomphonema_acuminatum	Gomphonema	Gomphonemataceae	Bacillariophyceae	1
655	Surirella_brebissonii	Surirella	Surirellaceae	Bacillariophyceae	1
n656	Cyclotella_meneghiniana	Cyclotella	Stephanodiscaceae	Coscinodiscophyceae	1
657	Ulnaria_ulna	Ulnaria	Fragilariaceae	Bacillariophyceae	1
658	Gomphonema_parvulum	Gomphonema	Gomphonemataceae	Bacillariophyceae	1
659	Diatoma_vulgaris	Diatoma	Fragilariaceae	Bacillariophyceae	1
660	Nitzschia_palea	Nitzschia	Bacillariaceae	Bacillariophyceae	1
661	Gomphonema_truncatum	Gomphonema	Gomphonemataceae	Bacillariophyceae	1
662	Fragilaria_Lyngbye	Fragilaria	Fragilariaceae	Bacillariophyceae	1
665	Ulnaria_ulna	Ulnaria	Fragilariaceae	Bacillariophyceae	1
667	Encyonema_sp	Encyonema	Cymbellaceae	Bacillariophyceae	1
668	Ulnaria_acus	Ulnaria	Fragilariaceae	Bacillariophyceae	1
670	Nitzschia_palea	Nitzschia	Bacillariaceae	Bacillariophyceae	1
671	Gomphonema_parvulum	Gomphonema	Gomphonemataceae	Bacillariophyceae	1
673	Navicula_radiosa	Navicula	Naviculaceae	Bacillariophyceae	1
674	Navicula_cryptotenella	Navicula	Naviculaceae	Bacillariophyceae	1
675	Nitzschia_paleacea	Nitzschia	Bacillariaceae	Bacillariophyceae	1
676	Achnanthidium_minutissimum_OTU4	Achnanthidium	Achnanthidiaceae	Bacillariophyceae	1
678	Gomphonema_parvulum	Gomphonema	Gomphonemataceae	Bacillariophyceae	1
679	Amphora_pediculus	Amphora	Catenulaceae	Bacillariophyceae	1
680	Navicula_radiosa	Navicula	Naviculaceae	Bacillariophyceae	1
n681	Staurosira_venter	Staurosira	Fragilariaceae	Bacillariophyceae	1
683	Melosira_varians	Melosira	Melosiraceae	Coscinodiscophyceae	1
684	Encyonema_sp	Encyonema	Cymbellaceae	Bacillariophyceae	1
689	Cocconeis_placentula	Cocconeis	Cocconeidaceae	Bacillariophyceae	1
690	Achnanthidium_minutissimum_OTU2	Achnanthidium	Achnanthidiaceae	Bacillariophyceae	1
693	Diatoma_vulgaris	Diatoma	Fragilariaceae	Bacillariophyceae	1
697	Diatoma_vulgaris	Diatoma	Fragilariaceae	Bacillariophyceae	1
698	Ulnaria_ulna	Ulnaria	Fragilariaceae	Bacillariophyceae	1
701	Nitzschia_amphibia	Nitzschia	Bacillariaceae	Bacillariophyceae	1
702	Ulnaria_ulna	Ulnaria	Fragilariaceae	Bacillariophyceae	1
703	Gomphonema_cymbelliclinum	Gomphonema	Gomphonemataceae	Bacillariophyceae	1
704	Planothidium_lanceolatum	Planothidium	Achnanthidiaceae	Bacillariophyceae	1
706	Ulnaria_acus	Ulnaria	Fragilariaceae	Bacillariophyceae	1
707	Achnanthidium_minutissimum_OTU4	Achnanthidium	Achnanthidiaceae	Bacillariophyceae	1
708	Gomphonema_cf	Gomphonema	Gomphonemataceae	Bacillariophyceae	1
709	Surirella_angusta	Surirella	Surirellaceae	Bacillariophyceae	1
711	Gomphonema_parvulum	Gomphonema	Gomphonemataceae	Bacillariophyceae	1
713	Nitzschia_capitellata	Nitzschia	Bacillariaceae	Bacillariophyceae	1
716	Navicula_sp	Navicula	Naviculaceae	Bacillariophyceae	1
718	Rhoicosphenia_abbreviata	Rhoicosphenia	Rhoicospheniaceae	Bacillariophyceae	1
720	Ulnaria_ulna	Ulnaria	Fragilariaceae	Bacillariophyceae	1
721	Diatoma_vulgaris	Diatoma	Fragilariaceae	Bacillariophyceae	1
722	Nitzschia_amphibia	Nitzschia	Bacillariaceae	Bacillariophyceae	1
723	Cocconeis_pediculus	Cocconeis	Cocconeidaceae	Bacillariophyceae	1
725	Achnanthidium_minutissimum_OTU1	Achnanthidium	Achnanthidiaceae	Bacillariophyceae	1
726	Fragilaria_Lyngbye	Fragilaria	Fragilariaceae	Bacillariophyceae	1
728	Navicula_radiosa	Navicula	Naviculaceae	Bacillariophyceae	1
729	Eunotia_arcus	Eunotia	Eunotiaceae	Bacillariophyceae	1
731	Encyonopsis_microcephala	Encyonopsis	Cymbellaceae	Bacillariophyceae	1
734	Fragilaria_gracilis	Fragilaria	Fragilariaceae	Bacillariophyceae	1
739	Hannaea_arcus	Hannaea	Fragilariaceae	Bacillariophyceae	1
740	Eunotia_implicata	Eunotia	Eunotiaceae	Bacillariophyceae	1
742	Eunotia_bilunaris	Eunotia	Eunotiaceae	Bacillariophyceae	1
743	Fragilaria_gracilis	Fragilaria	Fragilariaceae	Bacillariophyceae	1
745	Gomphonema_exilissimum	Gomphonema	Gomphonemataceae	Bacillariophyceae	1
752	Stauroneis_phoenicenteron	Stauroneis	Stauroneidaceae	Bacillariophyceae	1
753	Thalassiosira_pseudonana	Thalassiosira	Stephanodiscaceae	Coscinodiscophyceae	1
758	Pinnularia_neomajor	Pinnularia	Pinnulariaceae	Bacillariophyceae	1
